跋嘴	ba2 zui3
把把	ba3 ba5
把杯	ba3 bei1
把鼻	ba3 bi2
把筆	ba3 bi3
把臂	ba3 bi4
把柄	ba3 bing3
把場	ba3 chang2
靶場	ba3 chang2
把持	ba3 chi2
把定	ba3 ding4
把斷	ba3 duan4
把舵	ba3 duo4
把風	ba3 feng1
把關	ba3 guan1
把滑	ba3 hua2
把猾	ba3 hua2
把話	ba3 hua4
靶機	ba3 ji1
把家	ba3 jia1
把街	ba3 jie1
把酒	ba3 jiu3
把卷	ba3 juan4
把口	ba3 kou3
把來	ba3 lai2
把攬	ba3 lan5
把牢	ba3 lao2
把斂	ba3 lian5
把麻	ba3 ma2
把脈	ba3 mai4
把賣	ba3 mai4
把麼	ba3 me5
把袂	ba3 mei4
把門	ba3 men2
把弄	ba3 nong4
把錢	ba3 qian2
把權	ba3 quan2
把如	ba3 ru2
把色	ba3 se4
把勢	ba3 shi5
把式	ba3 shi5
把守	ba3 shou3
把手	ba3 shou3
把似	ba3 si4
把素	ba3 su4
把頭	ba3 tou2
把玩	ba3 wan4
把位	ba3 wei4
把穩	ba3 wen3
把握	ba3 wo4
把晤	ba3 wu4
把戲	ba3 xi4
把細	ba3 xi4
把下	ba3 xia4
靶心	ba3 xin1
把齋	ba3 zhai1
把盞	ba3 zhan3
把住	ba3 zhu4
把捉	ba3 zhuo1
把子	ba3 zi5
靶子	ba3 zi5
把總	ba3 zong3
把作	ba3 zuo4
把做	ba3 zuo4
矲矮	ba4 ai3
爸爸	ba4 ba5
罷兵	ba4 bing1
霸才	ba4 cai2
罷斥	ba4 chi4
罷黜	ba4 chu4
霸道	ba4 dao4
霸府	ba4 fu3
罷崗	ba4 gang3
壩工	ba4 gong1
罷工	ba4 gong1
霸功	ba4 gong1
罷官	ba4 guan1
壩基	ba4 ji1
霸機	ba4 ji1
罷教	ba4 jiao1
霸據	ba4 ju4
罷課	ba4 ke4
罷了	ba4 le5
罷了	ba4 liao3
霸略	ba4 lve4
罷麼	ba4 me5
罷免	ba4 mian3
霸氣	ba4 qi4
灞橋	ba4 qiao2
霸權	ba4 quan2
霸上	ba4 shang4
罷駛	ba4 shi3
罷市	ba4 shi4
罷收	ba4 shou1
罷手	ba4 shou3
霸術	ba4 shu4
灞水	ba4 shui3
壩臺	ba4 tai2
伯圖	ba4 tu2
霸圖	ba4 tu2
霸突	ba4 tu2
罷退	ba4 tui4
霸王	ba4 wang2
罷閒	ba4 xian2
霸縣	ba4 xian4
罷休	ba4 xiu1
罷亞	ba4 ya4
伯業	ba4 ye4
霸業	ba4 ye4
罷戰	ba4 zhan4
霸占	ba4 zhan4
霸者	ba4 zhe3
罷職	ba4 zhi2
壩址	ba4 zhi3
矲雉	ba4 zhi4
霸主	ba4 zhu3
壩子	ba4 zi5
把子	ba4 zi5
掰謊	bai1 huang3
掰開	bai1 kai1
掰了	bai1 le5
白艾	bai2 ai4
白案	bai2 an4
白白	bai2 bai2
白斑	bai2 ban1
白班	bai2 ban1
白板	bai2 ban3
白寶	bai2 bao3
白筆	bai2 bi3
白璧	bai2 bi4
白捕	bai2 bu3
白財	bai2 cai2
白菜	bai2 cai4
白粲	bai2 can4
白草	bai2 cao3
白茶	bai2 cha2
白菖	bai2 chang1
白氅	bai2 chang3
白扯	bai2 che3
白吃	bai2 chi1
白痴	bai2 chi1
白熾	bai2 chi4
白翅	bai2 chi4
白瓷	bai2 ci2
白磁	bai2 ci2
白刺	bai2 ci4
白醋	bai2 cu4
白搭	bai2 da1
白打	bai2 da3
白帶	bai2 dai4
白當	bai2 dang1
白道	bai2 dao4
白登	bai2 deng1
白瞪	bai2 deng4
白狄	bai2 di2
白地	bai2 di4
白帝	bai2 di4
白顛	bai2 dian1
白丁	bai2 ding1
白洞	bai2 dong4
白𣎴	bai2 dun3
白墮	bai2 duo4
白俄	bai2 e2
白鵝	bai2 e2
白堊	bai2 e4
白發	bai2 fa1
白法	bai2 fa3
白髮	bai2 fa3
白幡	bai2 fan1
白礬	bai2 fan2
白飯	bai2 fan4
白放	bai2 fang4
白費	bai2 fei4
白粉	bai2 fen3
白服	bai2 fu2
白乾	bai2 gan1
白干	bai2 gan1
白給	bai2 gei3
白宮	bai2 gong1
白骨	bai2 gu3
白鸛	bai2 guan4
白光	bai2 guang1
白圭	bai2 gui1
白珪	bai2 gui1
白果	bai2 guo3
白海	bai2 hai3
白汗	bai2 han4
白蒿	bai2 hao1
白毫	bai2 hao2
白河	bai2 he2
白鶴	bai2 he4
白黑	bai2 hei1
白珩	bai2 heng2
白虹	bai2 hong2
白澒	bai2 hong4
白喉	bai2 hou2
白狐	bai2 hu2
白鵠	bai2 hu2
白虎	bai2 hu3
白花	bai2 hua1
白華	bai2 hua2
白樺	bai2 hua4
白話	bai2 hua4
白環	bai2 huan2
白謊	bai2 huang3
白灰	bai2 hui1
白混	bai2 hun4
白芨	bai2 ji2
白袷	bai2 jia2
白閒	bai2 jian1
白簡	bai2 jian3
白鍵	bai2 jian4
白教	bai2 jiao1
白膠	bai2 jiao1
白金	bai2 jin1
白淨	bai2 jing5
白酒	bai2 jiu3
白駒	bai2 ju1
白卷	bai2 juan4
白軍	bai2 jun1
白客	bai2 ke4
白口	bai2 kou3
白快	bai2 kuai4
白拉	bai2 la1
白蠟	bai2 la4
白鑞	bai2 la4
白來	bai2 lai2
白賴	bai2 lai4
白狼	bai2 lang2
白朗	bai2 lang3
白浪	bai2 lang4
白梨	bai2 li2
白痢	bai2 li4
白鰱	bai2 lian2
白臉	bai2 lian3
白楝	bai2 lian4
白練	bai2 lian4
白蘞	bai2 lian4
白糧	bai2 liang2
白磷	bai2 lin2
白領	bai2 ling3
白令	bai2 ling4
白露	bai2 lu4
白鷺	bai2 lu4
白鹿	bai2 lu4
白落	bai2 luo4
白麻	bai2 ma2
白馬	bai2 ma3
白忙	bai2 mang2
白旄	bai2 mao2
白茅	bai2 mao2
白煤	bai2 mei2
白眉	bai2 mei2
白黴	bai2 mei2
白門	bai2 men2
白米	bai2 mi3
白面	bai2 mian4
白麪	bai2 mian4
白描	bai2 miao2
白墨	bai2 mo4
白沫	bai2 mo4
白囊	bai2 nang2
白膩	bai2 ni4
白鳥	bai2 niao3
白鷗	bai2 ou1
白跑	bai2 pao3
白砒	bai2 pi1
白蘋	bai2 pin2
白破	bai2 po4
白樸	bai2 pu2
白醭	bai2 pu2
白旗	bai2 qi2
白起	bai2 qi3
白契	bai2 qi4
白氣	bai2 qi4
白前	bai2 qian2
白錢	bai2 qian2
白鏹	bai2 qiang3
白渠	bai2 qu2
白饒	bai2 rao2
白熱	bai2 re4
白人	bai2 ren2
白刃	bai2 ren4
白日	bai2 ri4
白肉	bai2 rou4
白桵	bai2 rui3
白色	bai2 se4
