一字值千金	yi1 zi4 zhi2 qian1 jin1
一字兒	yi2 zer4
一字入公門	yi1 zi4 ru4 gong1 men2
一字千金	yi1 zi4 qian1 jin1
一字半句	yi1 zi4 ban4 ju4
一字師	yi1 zi4 shi1
一字王	yi1 zi4 wang2
一字眉	yi1 zi4 mei2
一字肩背心	yi1 zi4 jian1 bei4 xin1
一字褒貶	yi1 zi4 bao1 bian3
一字襟坎肩兒	yi2 zi4 jin1 kan3 jiar1
一字長蛇陣	yi1 zi4 chang2 she2 zhen4
一字髯	yi1 zi4 ran2
一宅分兩院	yi1 zhai2 fen1 liang3 yuan4
一官半職	yi1 guan1 ban4 zhi2
一定	yi1 ding4
一定不易	yi1 ding4 bu4 yi4
一定不移	yi1 ding4 bu4 yi2
一客不煩二主	yi1 ke4 bu4 fan2 er4 zhu3
一客不犯二主	yi1 ke4 bu4 fan4 er4 zhu3
一家	yi1 jia1
一家一個主	yi1 jia1 yi1 ge5 zhu3
一家一計	yi1 jia1 yi1 ji4
一家之主	yi1 jia1 zhi1 zhu3
一家之學	yi1 jia1 zhi1 xue2
一家之言	yi1 jia1 zhi1 yan2
一家之說	yi1 jia1 zhi1 shuo1
一家之論	yi1 jia1 zhi1 lun4
一家人	yi1 jia1 ren2
一家大小	yi1 jia1 da4 xiao3
一家子	yi1 jia1 zi5
一家眷屬	yi1 jia1 juan4 shu3
一家老小	yi1 jia1 lao3 xiao3
一家言	yi1 jia1 yan2
一宿	yi1 xiu3
一寒如此	yi1 han2 ru2 ci3
一寸丹心	yi1 cun4 dan1 xin1
一寸光陰一寸金	yi1 cun4 guang1 yin1 yi1 cun4 jin1
一寸秋波	yi1 cun4 qiu1 bo1
一寸赤心	yi1 cun4 chi4 xin1
一射	yi1 she4
一將守關	yi1 jiang4 shou3 guan1
一將難求	yi1 jiang4 nan2 qiu2
一對	yi1 dui4
一小撮	yi1 xiao3 cuo1
一就	yi1 jiu4
一就手兒	yi1 jiu4 shour3
一尺布	yi1 chi3 bu4
一尺水	yi1 chi3 shui3
一尺還他十寸	yi1 chi3 huan2 ta1 shi2 cun4
一屁股	yi1 pi4 gu3
