䰖兒	zuar3
好一日兒	hao3 yi1 rir4
好兒	haor3
好寡拉主兒	hao3 gua3 la1 zhur3
好樣兒的	hao3 yangr4 de5
好自在性兒	hao3 zi4 zai4 xingr4
好話兒	hao3 huar4
如今晚兒	ru2 jin1 war3
姊兒	jier3
姊兒	zir3
姊兒倆	jier3 liang3
姊兒倆	zir3 liang3
姐兒	jier3
姑娘兒	gu1 niangr5
姨兒	yer2
姪兒	zher2
娃兒	war2
娘兒	niangr2
娘兒們	niangr2 men5
婆兒	por2
婆兒氣	por2 qi4
媒兒	mer2
媳婦兒	xi2 fur4
媽兒	mar1
媽媽令兒	ma1 ma5 lingr4
媽媽論兒	ma1 ma5 luer4
嬌哥兒	jiao1 ger1
子兒	zer3
子兒鹽	zer3 yan2
子母扣兒	zi3 mu3 kour4
字眼兒	zi4 yar3
孤鬼兒	gu1 guer3
孩兒	har2
孩兒們	hair2 men5
官兒	guar1
官座兒	guan1 zuor4
官板兒	guan1 bar3
官稱兒	guan1 chengr1
官面兒	guan1 miar4
定光油兒	ding4 guang1 your2
客作兒	ke4 zuor4
家底兒	jia1 dier3
家老兒	jia1 laor3
寡拉主兒	gua3 la1 zhur3
寫字兒	xie3 zer4
寫意兒	xie4 yer4
寬心丸兒	kuan1 xin1 war2
封兒	fengr1
尋由頭兒	xun2 you2 tour2
對了檻兒	dui4 le5 kar3
對光兒	dui4 guangr1
對聯兒	dui4 liar2
對茌兒	dui4 cher2
小不點兒	xiao3 bu4 diar3
小人兒	xiao3 rer2
小人兒書	xiao3 rer2 shu1
小兒	xiaor3
小兩口兒	xiao3 liang3 kour3
小命兒	xiao3 mingr4
小哥兒們	xiao3 ger1 men5
小大姐兒裁械子	xiao3 da4 jier3 cai2 xie4 zi5
小姐們兒	xiao3 jie3 mer5
小媽兒	xiao3 mar1
小嬸兒	xiao3 sher5
小官兒	xiao3 guar1
小定兒	xiao3 dingr4
小差事兒	xiao3 chai1 sher5
小帖兒	xiao3 tier3
小幺兒	xiao3 yaor1
小心眼兒	xiao3 xin1 yar3
小性兒	xiao3 xingr4
小意兒	xiao3 yer4
小戲兒	xiao3 xier4
小打扮兒	xiao3 da3 bar4
小掛兒	xiao3 guar4
小書兒	xiao3 shur1
小末因由兒	xiao3 mo4 yin1 your2
小模樣兒	xiao3 mu2 yangr4
小油嘴兒	xiao3 you2 zuer3
小爐兒匠	xiao3 lur2 jiang4
小玩藝兒	xiao3 wan2 yer4
小線兒	xiao3 xiar4
小老兒	xiao3 laor3
小老頭兒	xiao3 lao3 tour2
小肉兒	xiao3 rour4
小肚子兒	xiao3 du4 zer5
小臉兒	xiao3 liar3
小菜碟兒	xiao3 cai4 dier2
小豆兒	xiao3 dour4
小軟兒	xiao3 ruar3
小辮兒	xiao3 biar4
小過門兒	xiao3 guo4 mer2
小道兒	xiao3 daor4
小雛兒	xiao3 chur2
小零兒	xiao3 lingr2
小頭小臉兒	xiao3 tou2 xiao3 liar3
小鹿兒	xiao3 lur4
小鹿兒心頭撞	xiao3 lur4 xin1 tou2 zhuang4
小鼓搗油兒	xiao3 gu3 dao5 your2
尖兒	jiar1
尺頭兒	chi3 tour2
尿盆兒	niao4 per2
屜兒	tier4
岔兒	char2
岔兒	char4
岔劈兒	cha4 pier1
岔批兒	cha4 pier1
工尺字兒	gong1 che3 zer4
工碼兒	gong1 mar3
巧主兒	qiao3 zhur3
巧勁兒	qiao3 jier4
巧當兒	qiao3 dangr1
差一點兒	cha4 yi4 diar3
差聲兒	cha4 shengr1
差配兒	cha4 per4
差點兒	cha4 diar3
巴不得一聲兒	ba1 bu5 de5 yi1 shengr1
巴兒狗	bar1 gou3
巴尖兒好勝	ba1 jiar1 hao4 sheng4
巴巴兒的	ba1 bar1 de5
巴巴罾兒	ba1 ba1 zengr4
巴高枝兒	ba1 gao1 zher1
布招兒	bu4 zhaor1
布衫兒	bu4 shar1
希希罕兒	xi1 xi5 har3
帖兒	tier3
帶手兒	dai4 shour3
常行兒	chang2 xingr2
帽兒	maor4
幡兒	far1
幫兒	bangr1
幾兒	jier3
幾兒個	jir3 ge5
底兒	dier3
底本兒	di3 ber3
底根兒	di3 ger1
底樣兒	di3 yangr4
座兒	zuor4
弄刺子兒	long4 la4 zer3
弄小性兒	nong4 xiao3 xingr4
弄風兒	nong4 fengr1
弓兒	gongr1
弓兒扯滿	gongr1 che3 man3
弔腳兒事	diao4 jiaor3 shi4
弟子孩兒	di4 zi3 har2
影兒	yingr3
影戲人兒	ying3 xi4 rer2
待一會兒	dai1 yi4 huer3
後兒	hour4
後婚兒	hou4 huer1
後學兒	hou4 xiaor2
後尾兒	hou4 yer3
後悔藥兒	hou4 hui3 yaor4
後手兒	hou4 shour3
後臉兒	hou4 liar3
